Parameter,Value,Unit
HJC_X,53.90861561256967,mm
HJC_Y,465.3776672358163,mm
HJC_Z,286.8012382915917,mm
HJC_Precision,31.066110576960483,mm
KJC_X,95.29155500000003,mm
KJC_Y,358.7317300000001,mm
KJC_Z,48.106958000000006,mm
AJC_X,39.40813221606844,mm
AJC_Y,336.08828336879867,mm
AJC_Z,217.45309373051523,mm
Femur_Length,264.69012645954575,mm
Tibia_Length,179.76038580356297,mm
Mechanical_Axis_Length,147.4285384635865,mm
Knee_Offset,171.36184357936398,mm
Varus_Valgus_Angle,162.5647694768902,degrees
Alignment_Type,Varus,-
